concept,polarity,closeness_male,closeness_female,closeness_global_north,closeness_global_south
respondent_praise,negative,,,,
unnamed_contractor,negative,,,,
local_community,positive,,,,
local_commissioner,positive,,,,
local_municipality,positive,,,,
local_publisher,positive,,,,
hate_capitalism,negative,,,,
ban_submitter,negative,,,,
shun_russia,negative,,,,
negative_reaction,negative,,,,
watchdog_ban,negative,,,,
outweigh_negative,negative,,,,
insurer_ban,negative,,,,
protesters,negative,,,,
sovereign_default,negative,,,,
mobile_developer,positive,,,,
delist_subsidiary,negative,,,,
commercially_viable,positive,,,,
financially_feasible,positive,,,,
economically_viable,positive,,,,
uruguayan_contractor,negative,,,,
electronic_catalogue,positive,,,,
upload_catalogue,positive,,,,
software_protect,negative,,,,
aeronautic_defense,negative,,,,
intensive_hospital,positive,,,,
venue_irk,negative,,,,
abandon,negative,,,,
abandoned,negative,,,,
abandoning,negative,,,,
abandonment,negative,,,,
abandonments,negative,,,,
abandons,negative,,,,
abdicated,negative,,,,
abdicates,negative,,,,
abdicating,negative,,,,
abdication,negative,,,,
abdications,negative,,,,
aberrant,negative,,,,
aberration,negative,,,,
aberrational,negative,,,,
aberrations,negative,,,,
able,positive,,,,
abnormal,negative,,,,
abnormalities,negative,,,,
abnormality,negative,,,,
abnormally,negative,,,,
abolish,negative,,,,
abolished,negative,,,,
abolishes,negative,,,,
abolishing,negative,,,,
abrogate,negative,,,,
abrogated,negative,,,,
abrogates,negative,,,,
abrogating,negative,,,,
abrogation,negative,,,,
abrogations,negative,,,,
abrupt,negative,,,,
abruptly,negative,,,,
abruptness,negative,,,,
absence,negative,,,,
absences,negative,,,,
absenteeism,negative,,,,
abundance,positive,,,,
abundant,positive,,,,
abuse,negative,,,,
abused,negative,,,,
abuses,negative,,,,
abusing,negative,,,,
abusive,negative,,,,
abusively,negative,,,,
abusiveness,negative,,,,
accident,negative,,,,
accidental,negative,,,,
accidentally,negative,,,,
accidents,negative,,,,
acclaimed,positive,,,,
accomplish,positive,,,,
accomplished,positive,,,,
accomplishes,positive,,,,
accomplishing,positive,,,,
accomplishment,positive,,,,
accomplishments,positive,,,,
accusation,negative,,,,
accusations,negative,,,,
accuse,negative,,,,
accused,negative,,,,
accuses,negative,,,,
accusing,negative,,,,
achieve,positive,,,,
achieved,positive,,,,
achievement,positive,,,,
achievements,positive,,,,
achieves,positive,,,,
achieving,positive,,,,
adequately,positive,,,,
adulterate,negative,,,,
adulterated,negative,,,,
adulterating,negative,,,,
advancement,positive,,,,
advancements,positive,,,,
advances,positive,,,,
advancing,positive,,,,
advantage,positive,,,,
advantaged,positive,,,,
advantageous,positive,,,,
advantageously,positive,,,,
advantages,positive,,,,
adversarial,negative,,,,
adversaries,negative,,,,
adversary,negative,,,,
adverse,negative,,,,
adversely,negative,,,,
adversities,negative,,,,
adversity,negative,,,,
aftermath,negative,,,,
aftermaths,negative,,,,
against,negative,,,,
aggravate,negative,,,,
aggravated,negative,,,,
aggravates,negative,,,,
alienate,negative,,,,
alienated,negative,,,,
alienates,negative,,,,
alienating,negative,,,,
alienation,negative,,,,
alienations,negative,,,,
allegation,negative,,,,
allegations,negative,,,,
alleged,negative,,,,
annoy,negative,,,,
annoyance,negative,,,,
annoyances,negative,,,,
annoyed,negative,,,,
annoying,negative,,,,
annoys,negative,,,,
annul,negative,,,,
annulled,negative,,,,
annulling,negative,,,,
annulment,negative,,,,
annulments,negative,,,,
annuls,negative,,,,
anomalies,negative,,,,
anomalous,negative,,,,
anomalously,negative,,,,
anomaly,negative,,,,
anticompetitive,negative,,,,
argue,negative,,,,
argued,negative,,,,
arguing,negative,,,,
argument,negative,,,,
argumentative,negative,,,,
arguments,negative,,,,
arrest,negative,,,,
arrested,negative,,,,
arrests,negative,,,,
assault,negative,,,,
assaulted,negative,,,,
assaulting,negative,,,,
assaults,negative,,,,
assure,positive,,,,
assures,positive,,,,
assuring,positive,,,,
attain,positive,,,,
attained,positive,,,,
attaining,positive,,,,
attainment,positive,,,,
attainments,positive,,,,
attains,positive,,,,
attractive,positive,,,,
attractiveness,positive,,,,
attrition,negative,,,,
aversely,negative,,,,
bad,negative,,,,
balk,negative,,,,
balked,negative,,,,
bankrupt,negative,,,,
bankruptcies,negative,,,,
bankruptcy,negative,,,,
bankrupted,negative,,,,
bankrupting,negative,,,,
bankrupts,negative,,,,
bans,negative,,,,
barred,negative,,,,
barrier,negative,,,,
barriers,negative,,,,
beautiful,positive,,,,
beautifully,positive,,,,
beneficial,positive,,,,
beneficially,positive,,,,
benefit,positive,,,,
benefited,positive,,,,
benefiting,positive,,,,
benefitted,positive,,,,
benefitting,positive,,,,
best,positive,,,,
better,positive,,,,
bolstered,positive,,,,
bolstering,positive,,,,
bolsters,positive,,,,
boom,positive,,,,
booming,positive,,,,
boost,positive,,,,
boosted,positive,,,,
bottleneck,negative,,,,
bottlenecks,negative,,,,
boycott,negative,,,,
boycotted,negative,,,,
boycotting,negative,,,,
boycotts,negative,,,,
breach,negative,,,,
breached,negative,,,,
breaches,negative,,,,
breaching,negative,,,,
break,negative,,,,
breakage,negative,,,,
breakages,negative,,,,
breakdown,negative,,,,
breakdowns,negative,,,,
breaking,negative,,,,
breaks,negative,,,,
breakthrough,positive,,,,
breakthroughs,positive,,,,
bribe,negative,,,,
bribed,negative,,,,
briberies,negative,,,,
bribery,negative,,,,
bribes,negative,,,,
bribing,negative,,,,
brilliant,positive,,,,
broken,negative,,,,
burden,negative,,,,
burdened,negative,,,,
burdening,negative,,,,
burdens,negative,,,,
burdensome,negative,,,,
burned,negative,,,,
calamities,negative,,,,
calamitous,negative,,,,
calamity,negative,,,,
cancel,negative,,,,
canceled,negative,,,,
canceling,negative,,,,
cancellation,negative,,,,
cancellations,negative,,,,
cancelled,negative,,,,
cancelling,negative,,,,
cancels,negative,,,,
careless,negative,,,,
carelessly,negative,,,,
carelessness,negative,,,,
catastrophe,negative,,,,
catastrophes,negative,,,,
catastrophic,negative,,,,
catastrophically,negative,,,,
cease,negative,,,,
ceased,negative,,,,
ceases,negative,,,,
ceasing,negative,,,,
censure,negative,,,,
censured,negative,,,,
censures,negative,,,,
censuring,negative,,,,
challenge,negative,,,,
challenged,negative,,,,
challenges,negative,,,,
challenging,negative,,,,
charitable,positive,,,,
circumvent,negative,,,,
circumvented,negative,,,,
circumventing,negative,,,,
circumvents,negative,,,,
claiming,negative,,,,
claims,negative,,,,
clawback,negative,,,,
closeout,negative,,,,
closeouts,negative,,,,
closing,negative,,,,
closings,negative,,,,
closure,negative,,,,
closures,negative,,,,
coerce,negative,,,,
coerced,negative,,,,
coerces,negative,,,,
coercing,negative,,,,
coercion,negative,,,,
coercive,negative,,,,
collaborate,positive,,,,
collaborated,positive,,,,
collaborates,positive,,,,
collaborating,positive,,,,
collaboration,positive,,,,
collaborations,positive,,,,
collaborative,positive,,,,
collaborator,positive,,,,
collaborators,positive,,,,
collapse,negative,,,,
collapsed,negative,,,,
collapses,negative,,,,
collapsing,negative,,,,
collision,negative,,,,
collisions,negative,,,,
collusive,negative,,,,
complain,negative,,,,
complained,negative,,,,
complaining,negative,,,,
complains,negative,,,,
complaint,negative,,,,
complaints,negative,,,,
complicate,negative,,,,
complicated,negative,,,,
complicates,negative,,,,
complicating,negative,,,,
complication,negative,,,,
complications,negative,,,,
compliment,positive,,,,
complimentary,positive,,,,
complimented,positive,,,,
complimenting,positive,,,,
compliments,positive,,,,
compulsion,negative,,,,
concede,negative,,,,
conceded,negative,,,,
concedes,negative,,,,
conceding,negative,,,,
concern,negative,,,,
concerned,negative,,,,
concerns,negative,,,,
conclusive,positive,,,,
condemn,negative,,,,
condemnation,negative,,,,
condemnations,negative,,,,
condemned,negative,,,,
condemning,negative,,,,
condemns,negative,,,,
condone,negative,,,,
condoned,negative,,,,
conducive,positive,,,,
confident,positive,,,,
confine,negative,,,,
confined,negative,,,,
confinement,negative,,,,
confinements,negative,,,,
confines,negative,,,,
confining,negative,,,,
confiscate,negative,,,,
confiscated,negative,,,,
confiscates,negative,,,,
confiscating,negative,,,,
confiscation,negative,,,,
confiscations,negative,,,,
conflict,negative,,,,
conflicted,negative,,,,
conflicting,negative,,,,
conflicts,negative,,,,
confront,negative,,,,
confrontation,negative,,,,
confrontational,negative,,,,
confrontations,negative,,,,
confronted,negative,,,,
confronting,negative,,,,
confronts,negative,,,,
confuse,negative,,,,
confused,negative,,,,
confuses,negative,,,,
confusing,negative,,,,
confusingly,negative,,,,
confusion,negative,,,,
conspiracies,negative,,,,
conspiracy,negative,,,,
conspirator,negative,,,,
conspiratorial,negative,,,,
conspirators,negative,,,,
conspire,negative,,,,
conspired,negative,,,,
conspires,negative,,,,
conspiring,negative,,,,
constructive,positive,,,,
constructively,positive,,,,
contempt,negative,,,,
contend,negative,,,,
contention,negative,,,,
contentious,negative,,,,
contested,negative,,,,
contesting,negative,,,,
contradict,negative,,,,
contradicted,negative,,,,
contradicting,negative,,,,
contradiction,negative,,,,
contradictions,negative,,,,
contradictory,negative,,,,
contradicts,negative,,,,
contrary,negative,,,,
controversial,negative,,,,
controversies,negative,,,,
controversy,negative,,,,
convict,negative,,,,
convicted,negative,,,,
convicting,negative,,,,
convictions,negative,,,,
corrupt,negative,,,,
corrupted,negative,,,,
corrupting,negative,,,,
corruption,negative,,,,
corruptions,negative,,,,
corruptly,negative,,,,
corruptness,negative,,,,
counterfeit,negative,,,,
counterfeited,negative,,,,
counterfeiting,negative,,,,
counterfeits,negative,,,,
countermeasure,negative,,,,
countermeasures,negative,,,,
courteous,positive,,,,
creative,positive,,,,
creatively,positive,,,,
creativeness,positive,,,,
creativity,positive,,,,
crime,negative,,,,
crimes,negative,,,,
criminal,negative,,,,
criminally,negative,,,,
criminals,negative,,,,
crisis,negative,,,,
critically,negative,,,,
criticism,negative,,,,
criticisms,negative,,,,
criticize,negative,,,,
criticized,negative,,,,
criticizes,negative,,,,
criticizing,negative,,,,
culpability,negative,,,,
culpable,negative,,,,
culpably,negative,,,,
cumbersome,negative,,,,
curtail,negative,,,,
curtailed,negative,,,,
curtailing,negative,,,,
curtails,negative,,,,
cut,negative,,,,
cybercrime,negative,,,,
damage,negative,,,,
damaged,negative,,,,
damaging,negative,,,,
danger,negative,,,,
dangerous,negative,,,,
dangerously,negative,,,,
dangers,negative,,,,
deadlock,negative,,,,
deadlocked,negative,,,,
deadlocking,negative,,,,
deadlocks,negative,,,,
deadweight,negative,,,,
debarment,negative,,,,
deceased,negative,,,,
deceit,negative,,,,
deceitful,negative,,,,
deceitfulness,negative,,,,
deceive,negative,,,,
deceived,negative,,,,
deceives,negative,,,,
deceiving,negative,,,,
deception,negative,,,,
deceptions,negative,,,,
deceptive,negative,,,,
deceptively,negative,,,,
decline,negative,,,,
declined,negative,,,,
declines,negative,,,,
declining,negative,,,,
deface,negative,,,,
defaced,negative,,,,
defacement,negative,,,,
defeat,negative,,,,
defeated,negative,,,,
defeating,negative,,,,
defeats,negative,,,,
defect,negative,,,,
defective,negative,,,,
defects,negative,,,,
defendant,negative,,,,
defendants,negative,,,,
defensive,negative,,,,
defer,negative,,,,
deficient,negative,,,,
deficit,negative,,,,
deficits,negative,,,,
defraud,negative,,,,
defrauded,negative,,,,
defrauding,negative,,,,
defrauds,negative,,,,
defunct,negative,,,,
degrade,negative,,,,
degrades,negative,,,,
delay,negative,,,,
delayed,negative,,,,
delaying,negative,,,,
delays,negative,,,,
deleterious,negative,,,,
deliberated,negative,,,,
delight,positive,,,,
delighted,positive,,,,
delightful,positive,,,,
delightfully,positive,,,,
delighting,positive,,,,
delights,positive,,,,
delinquencies,negative,,,,
delinquency,negative,,,,
delinquent,negative,,,,
delinquently,negative,,,,
delinquents,negative,,,,
demise,negative,,,,
demised,negative,,,,
demises,negative,,,,
demising,negative,,,,
demolish,negative,,,,
demolished,negative,,,,
demolishes,negative,,,,
demolishing,negative,,,,
demolition,negative,,,,
demolitions,negative,,,,
demote,negative,,,,
demoted,negative,,,,
demotes,negative,,,,
demoting,negative,,,,
denial,negative,,,,
denials,negative,,,,
denied,negative,,,,
denies,negative,,,,
denigrate,negative,,,,
denigrated,negative,,,,
denigrates,negative,,,,
denigrating,negative,,,,
denigration,negative,,,,
deny,negative,,,,
denying,negative,,,,
deplete,negative,,,,
depletes,negative,,,,
depleting,negative,,,,
deprecation,negative,,,,
depress,negative,,,,
depressed,negative,,,,
depresses,negative,,,,
depressing,negative,,,,
deprivation,negative,,,,
deprive,negative,,,,
deprived,negative,,,,
deprives,negative,,,,
depriving,negative,,,,
derelict,negative,,,,
dereliction,negative,,,,
derogatory,negative,,,,
desirable,positive,,,,
desired,positive,,,,
despite,positive,,,,
destabilization,negative,,,,
destabilize,negative,,,,
destabilized,negative,,,,
destabilizing,negative,,,,
destined,positive,,,,
destroy,negative,,,,
destroyed,negative,,,,
destroys,negative,,,,
destruction,negative,,,,
destructive,negative,,,,
detain,negative,,,,
detained,negative,,,,
detention,negative,,,,
detentions,negative,,,,
deter,negative,,,,
deteriorate,negative,,,,
deteriorated,negative,,,,
deteriorates,negative,,,,
deteriorating,negative,,,,
deterioration,negative,,,,
deteriorations,negative,,,,
deterred,negative,,,,
deterrence,negative,,,,
deterrences,negative,,,,
deterrent,negative,,,,
deterrents,negative,,,,
deters,negative,,,,
detriment,negative,,,,
detrimental,negative,,,,
detrimentally,negative,,,,
detriments,negative,,,,
devalue,negative,,,,
devalued,negative,,,,
devalues,negative,,,,
devaluing,negative,,,,
devastate,negative,,,,
devastated,negative,,,,
devastating,negative,,,,
devastation,negative,,,,
deviate,negative,,,,
deviated,negative,,,,
deviates,negative,,,,
deviating,negative,,,,
deviation,negative,,,,
deviations,negative,,,,
devolve,negative,,,,
devolved,negative,,,,
devolving,negative,,,,
difficult,negative,,,,
difficulties,negative,,,,
difficultly,negative,,,,
difficulty,negative,,,,
diligent,positive,,,,
diligently,positive,,,,
diminish,negative,,,,
diminished,negative,,,,
diminishes,negative,,,,
diminishing,negative,,,,
diminution,negative,,,,
disadvantage,negative,,,,
disadvantaged,negative,,,,
disadvantageous,negative,,,,
disadvantages,negative,,,,
disagree,negative,,,,
disagreeable,negative,,,,
disagreed,negative,,,,
disagreeing,negative,,,,
disagreement,negative,,,,
disagreements,negative,,,,
disagrees,negative,,,,
disappear,negative,,,,
disappoint,negative,,,,
disappointed,negative,,,,
disappointing,negative,,,,
disappointingly,negative,,,,
disappointment,negative,,,,
disappointments,negative,,,,
disappoints,negative,,,,
disapproval,negative,,,,
disapprovals,negative,,,,
disapprove,negative,,,,
disapproved,negative,,,,
disapproves,negative,,,,
disapproving,negative,,,,
disassociates,negative,,,,
disassociating,negative,,,,
disassociation,negative,,,,
disaster,negative,,,,
disasters,negative,,,,
disastrous,negative,,,,
disastrously,negative,,,,
disavow,negative,,,,
disavowal,negative,,,,
disavowed,negative,,,,
disavowing,negative,,,,
disavows,negative,,,,
disciplinary,negative,,,,
disclaimer,negative,,,,
disclaimers,negative,,,,
disclose,negative,,,,
disclosed,negative,,,,
discloses,negative,,,,
disclosing,negative,,,,
discontinuance,negative,,,,
discontinuances,negative,,,,
discontinuation,negative,,,,
discontinuations,negative,,,,
discontinue,negative,,,,
discontinued,negative,,,,
discontinues,negative,,,,
discontinuing,negative,,,,
discourage,negative,,,,
discouraged,negative,,,,
discourages,negative,,,,
discouraging,negative,,,,
discredit,negative,,,,
discredited,negative,,,,
discrediting,negative,,,,
discredits,negative,,,,
discrepancies,negative,,,,
discrepancy,negative,,,,
disfavor,negative,,,,
disfavored,negative,,,,
disfavoring,negative,,,,
disfavors,negative,,,,
disgorge,negative,,,,
disgorged,negative,,,,
disgorgement,negative,,,,
disgorges,negative,,,,
disgorging,negative,,,,
disgrace,negative,,,,
disgraceful,negative,,,,
disgracefully,negative,,,,
dishonest,negative,,,,
dishonestly,negative,,,,
dishonesty,negative,,,,
dishonor,negative,,,,
dishonorable,negative,,,,
dishonorably,negative,,,,
dishonored,negative,,,,
dishonoring,negative,,,,
dishonors,negative,,,,
disinterested,negative,,,,
disinterestedly,negative,,,,
disinterestedness,negative,,,,
disloyal,negative,,,,
disloyally,negative,,,,
disloyalty,negative,,,,
dismal,negative,,,,
dismally,negative,,,,
dismiss,negative,,,,
dismissal,negative,,,,
dismissals,negative,,,,
dismissed,negative,,,,
dismisses,negative,,,,
dismissing,negative,,,,
disorderly,negative,,,,
disparage,negative,,,,
disparaged,negative,,,,
disparages,negative,,,,
disparaging,negative,,,,
disparagingly,negative,,,,
displace,negative,,,,
displaced,negative,,,,
displacement,negative,,,,
displacements,negative,,,,
displaces,negative,,,,
displacing,negative,,,,
disproportion,negative,,,,
disproportional,negative,,,,
disproportionate,negative,,,,
disproportionately,negative,,,,
dispute,negative,,,,
disputed,negative,,,,
disputes,negative,,,,
disputing,negative,,,,
disqualification,negative,,,,
disqualifications,negative,,,,
disqualified,negative,,,,
disqualifies,negative,,,,
disqualify,negative,,,,
disqualifying,negative,,,,
disregard,negative,,,,
disregarded,negative,,,,
disregarding,negative,,,,
disregards,negative,,,,
disreputable,negative,,,,
disrepute,negative,,,,
disrupt,negative,,,,
disrupted,negative,,,,
disrupting,negative,,,,
disruption,negative,,,,
disruptions,negative,,,,
disruptive,negative,,,,
disrupts,negative,,,,
dissatisfaction,negative,,,,
dissatisfied,negative,,,,
dissent,negative,,,,
dissented,negative,,,,
dissenter,negative,,,,
dissenters,negative,,,,
dissenting,negative,,,,
dissents,negative,,,,
dissident,negative,,,,
dissidents,negative,,,,
dissolution,negative,,,,
dissolutions,negative,,,,
distinction,positive,,,,
distinctions,positive,,,,
distinctive,positive,,,,
distinctively,positive,,,,
distinctiveness,positive,,,,
distort,negative,,,,
distorted,negative,,,,
distorting,negative,,,,
distortion,negative,,,,
distortions,negative,,,,
distorts,negative,,,,
distract,negative,,,,
distracted,negative,,,,
distracting,negative,,,,
distraction,negative,,,,
distractions,negative,,,,
distracts,negative,,,,
distress,negative,,,,
distressed,negative,,,,
disturb,negative,,,,
disturbance,negative,,,,
disturbances,negative,,,,
disturbed,negative,,,,
disturbing,negative,,,,
disturbs,negative,,,,
diversion,negative,,,,
divert,negative,,,,
diverted,negative,,,,
diverts,negative,,,,
divest,negative,,,,
divested,negative,,,,
divesting,negative,,,,
divestiture,negative,,,,
divestitures,negative,,,,
divestment,negative,,,,
divests,negative,,,,
divorce,negative,,,,
divorced,negative,,,,
divulge,negative,,,,
divulged,negative,,,,
divulges,negative,,,,
divulging,negative,,,,
doubt,negative,,,,
doubted,negative,,,,
doubtful,negative,,,,
doubts,negative,,,,
downgrade,negative,,,,
downgraded,negative,,,,
downgrades,negative,,,,
downgrading,negative,,,,
downsize,negative,,,,
downsized,negative,,,,
downsizes,negative,,,,
downsizing,negative,,,,
downtime,negative,,,,
downtimes,negative,,,,
downturn,negative,,,,
downturns,negative,,,,
downward,negative,,,,
downwards,negative,,,,
drastic,negative,,,,
drastically,negative,,,,
drawback,negative,,,,
drawbacks,negative,,,,
dream,positive,,,,
dropped,negative,,,,
drought,negative,,,,
droughts,negative,,,,
dysfunction,negative,,,,
dysfunctional,negative,,,,
dysfunctions,negative,,,,
easier,positive,,,,
easily,positive,,,,
easy,positive,,,,
effective,positive,,,,
efficiencies,positive,,,,
efficiency,positive,,,,
efficient,positive,,,,
efficiently,positive,,,,
egregious,negative,,,,
egregiously,negative,,,,
embargo,negative,,,,
embargoed,negative,,,,
embargoes,negative,,,,
embargoing,negative,,,,
embarrass,negative,,,,
embarrassed,negative,,,,
embarrasses,negative,,,,
embarrassing,negative,,,,
embarrassment,negative,,,,
embarrassments,negative,,,,
embezzle,negative,,,,
embezzled,negative,,,,
embezzler,negative,,,,
embezzles,negative,,,,
embezzling,negative,,,,
empower,positive,,,,
empowered,positive,,,,
empowering,positive,,,,
empowers,positive,,,,
enable,positive,,,,
enabled,positive,,,,
enables,positive,,,,
enabling,positive,,,,
encouraged,positive,,,,
encouragement,positive,,,,
encourages,positive,,,,
encouraging,positive,,,,
encroach,negative,,,,
encroached,negative,,,,
encroaches,negative,,,,
encroaching,negative,,,,
encumber,negative,,,,
encumbered,negative,,,,
encumbering,negative,,,,
encumbers,negative,,,,
encumbrance,negative,,,,
encumbrances,negative,,,,
endanger,negative,,,,
endangered,negative,,,,
endangering,negative,,,,
endangerment,negative,,,,
endangers,negative,,,,
enhance,positive,,,,
enhanced,positive,,,,
enhancement,positive,,,,
enhancements,positive,,,,
enhances,positive,,,,
enhancing,positive,,,,
enjoin,negative,,,,
enjoy,positive,,,,
enjoyably,positive,,,,
enjoyed,positive,,,,
enjoying,positive,,,,
enjoyment,positive,,,,
enjoys,positive,,,,
enthusiasm,positive,,,,
enthusiastic,positive,,,,
enthusiastically,positive,,,,
erode,negative,,,,
eroded,negative,,,,
erodes,negative,,,,
eroding,negative,,,,
erosion,negative,,,,
erratic,negative,,,,
erratically,negative,,,,
erred,negative,,,,
erring,negative,,,,
erroneous,negative,,,,
erroneously,negative,,,,
error,negative,,,,
errors,negative,,,,
errs,negative,,,,
evade,negative,,,,
evaded,negative,,,,
evades,negative,,,,
evading,negative,,,,
evasion,negative,,,,
evasions,negative,,,,
evict,negative,,,,
evicted,negative,,,,
evicting,negative,,,,
eviction,negative,,,,
evictions,negative,,,,
evicts,negative,,,,
exaggerate,negative,,,,
exaggerated,negative,,,,
exaggerates,negative,,,,
exaggerating,negative,,,,
exaggeration,negative,,,,
excellence,positive,,,,
excellent,positive,,,,
excelling,positive,,,,
excels,positive,,,,
exceptional,positive,,,,
exceptionally,positive,,,,
excessive,negative,,,,
excessively,negative,,,,
excited,positive,,,,
excitement,positive,,,,
exclusive,positive,,,,
exclusively,positive,,,,
exclusiveness,positive,,,,
exclusivity,positive,,,,
exculpation,negative,,,,
exculpations,negative,,,,
exploit,negative,,,,
exploitation,negative,,,,
exploitations,negative,,,,
exploitative,negative,,,,
exploited,negative,,,,
exploiting,negative,,,,
exploits,negative,,,,
expose,negative,,,,
exposed,negative,,,,
exposes,negative,,,,
exposing,negative,,,,
expropriate,negative,,,,
expropriated,negative,,,,
expropriates,negative,,,,
expropriating,negative,,,,
expropriation,negative,,,,
expropriations,negative,,,,
expulsion,negative,,,,
expulsions,negative,,,,
fail,negative,,,,
failed,negative,,,,
failing,negative,,,,
failings,negative,,,,
fails,negative,,,,
fallout,negative,,,,
falsely,negative,,,,
fantastic,positive,,,,
fatalities,negative,,,,
fatality,negative,,,,
fatally,negative,,,,
fault,negative,,,,
faulted,negative,,,,
faults,negative,,,,
faulty,negative,,,,
favorable,positive,,,,
favorably,positive,,,,
favored,positive,,,,
favoring,positive,,,,
favorite,positive,,,,
favorites,positive,,,,
fear,negative,,,,
fears,negative,,,,
felonies,negative,,,,
felonious,negative,,,,
felony,negative,,,,
fictitious,negative,,,,
fined,negative,,,,
fired,negative,,,,
firing,negative,,,,
flaw,negative,,,,
flawed,negative,,,,
flaws,negative,,,,
forbid,negative,,,,
forbidden,negative,,,,
forbidding,negative,,,,
forbids,negative,,,,
forced,negative,,,,
forcing,negative,,,,
foreclose,negative,,,,
foreclosed,negative,,,,
forecloses,negative,,,,
foreclosing,negative,,,,
foreclosure,negative,,,,
foreclosures,negative,,,,
forestall,negative,,,,
forestalled,negative,,,,
forestalling,negative,,,,
forestalls,negative,,,,
forfeit,negative,,,,
forfeited,negative,,,,
forfeiting,negative,,,,
forfeits,negative,,,,
forfeiture,negative,,,,
forfeitures,negative,,,,
fraud,negative,,,,
frauds,negative,,,,
fraudulence,negative,,,,
fraudulent,negative,,,,
fraudulently,negative,,,,
friendly,positive,,,,
frivolous,negative,,,,
frivolously,negative,,,,
frustrate,negative,,,,
frustrated,negative,,,,
frustrates,negative,,,,
frustrating,negative,,,,
frustratingly,negative,,,,
frustration,negative,,,,
frustrations,negative,,,,
fugitive,negative,,,,
gain,positive,,,,
gained,positive,,,,
gaining,positive,,,,
gains,positive,,,,
good,positive,,,,
gratuitous,negative,,,,
gratuitously,negative,,,,
great,positive,,,,
greater,positive,,,,
greatest,positive,,,,
greatly,positive,,,,
greatness,positive,,,,
grievance,negative,,,,
grievances,negative,,,,
groundless,negative,,,,
guilty,negative,,,,
halt,negative,,,,
halted,negative,,,,
hamper,negative,,,,
hampered,negative,,,,
hampering,negative,,,,
hampers,negative,,,,
happiest,positive,,,,
happily,positive,,,,
happiness,positive,,,,
happy,positive,,,,
harass,negative,,,,
harassed,negative,,,,
harassing,negative,,,,
harassment,negative,,,,
harm,negative,,,,
harmed,negative,,,,
harmful,negative,,,,
harmfully,negative,,,,
harming,negative,,,,
harms,negative,,,,
harsh,negative,,,,
harsher,negative,,,,
harshest,negative,,,,
harshly,negative,,,,
harshness,negative,,,,
hazard,negative,,,,
hazardous,negative,,,,
hazards,negative,,,,
highest,positive,,,,
hinder,negative,,,,
hindered,negative,,,,
hindering,negative,,,,
hinders,negative,,,,
hindrance,negative,,,,
hindrances,negative,,,,
honor,positive,,,,
honorable,positive,,,,
honored,positive,,,,
honors,positive,,,,
hostile,negative,,,,
hurt,negative,,,,
hurting,negative,,,,
ideal,positive,,,,
idle,negative,,,,
idled,negative,,,,
idling,negative,,,,
ignore,negative,,,,
ignored,negative,,,,
ignores,negative,,,,
ignoring,negative,,,,
ill,negative,,,,
illegal,negative,,,,
illegalities,negative,,,,
illegality,negative,,,,
illegally,negative,,,,
illegible,negative,,,,
illiquid,negative,,,,
illiquidity,negative,,,,
imbalance,negative,,,,
imbalances,negative,,,,
immoral,negative,,,,
impair,negative,,,,
impairing,negative,,,,
impairment,negative,,,,
impairments,negative,,,,
impairs,negative,,,,
impasse,negative,,,,
impasses,negative,,,,
impede,negative,,,,
impeded,negative,,,,
impedes,negative,,,,
impeding,negative,,,,
impending,negative,,,,
imperative,negative,,,,
imperfection,negative,,,,
imperfections,negative,,,,
impossibility,negative,,,,
impossible,negative,,,,
impound,negative,,,,
impounded,negative,,,,
impounding,negative,,,,
impounds,negative,,,,
impress,positive,,,,
impressed,positive,,,,
impresses,positive,,,,
impressing,positive,,,,
impressive,positive,,,,
impressively,positive,,,,
improve,positive,,,,
improved,positive,,,,
improvement,positive,,,,
improvements,positive,,,,
improves,positive,,,,
improving,positive,,,,
imprudent,negative,,,,
imprudently,negative,,,,
inability,negative,,,,
inaccessible,negative,,,,
inaccuracies,negative,,,,
inaccuracy,negative,,,,
inaccurate,negative,,,,
inaccurately,negative,,,,
inaction,negative,,,,
inactions,negative,,,,
inactivate,negative,,,,
inactivated,negative,,,,
inactivates,negative,,,,
inactivating,negative,,,,
inactivation,negative,,,,
inactivations,negative,,,,
inactivity,negative,,,,
inadequacies,negative,,,,
inadequacy,negative,,,,
inadequate,negative,,,,
inadequately,negative,,,,
inadvertent,negative,,,,
inadvertently,negative,,,,
inadvisability,negative,,,,
inadvisable,negative,,,,
inappropriate,negative,,,,
inappropriately,negative,,,,
incapable,negative,,,,
incapacitated,negative,,,,
incapacity,negative,,,,
incarcerate,negative,,,,
incarcerated,negative,,,,
incarcerates,negative,,,,
incarcerating,negative,,,,
incarceration,negative,,,,
incarcerations,negative,,,,
incidence,negative,,,,
incidences,negative,,,,
incident,negative,,,,
incidents,negative,,,,
incompatible,negative,,,,
incompetence,negative,,,,
incompetency,negative,,,,
incompetent,negative,,,,
incompetently,negative,,,,
incompetents,negative,,,,
incomplete,negative,,,,
incompletely,negative,,,,
incompleteness,negative,,,,
inconclusive,negative,,,,
inconsistencies,negative,,,,
inconsistency,negative,,,,
inconsistent,negative,,,,
inconsistently,negative,,,,
inconvenience,negative,,,,
inconveniences,negative,,,,
inconvenient,negative,,,,
incredible,positive,,,,
incredibly,positive,,,,
indecent,negative,,,,
indict,negative,,,,
indictable,negative,,,,
indicted,negative,,,,
indicting,negative,,,,
indictment,negative,,,,
indictments,negative,,,,
